,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
24,2020-04-20,128.44163792205717,36.74158216259424,205.54380715270858,128.44163792205717,128.44163792205717,-5.864684727327645,-5.864684727327645,-5.864684727327645,-5.864684727327645,-5.864684727327645,-5.864684727327645,0.0,0.0,0.0,122.57695319472953
25,2020-04-21,130.23712884312036,43.3767373570745,212.96564703563757,130.23712884312036,130.23712884312036,-2.383379579223733,-2.383379579223733,-2.383379579223733,-2.383379579223733,-2.383379579223733,-2.383379579223733,0.0,0.0,0.0,127.85374926389663
26,2020-04-22,132.03261976418358,47.09675739758689,213.77092208778234,132.03261976418358,132.03261976418358,-3.494359992079381,-3.494359992079381,-3.494359992079381,-3.494359992079381,-3.494359992079381,-3.494359992079381,0.0,0.0,0.0,128.5382597721042
27,2020-04-23,133.8281106852468,41.24516023868227,217.98205093352342,133.8281106852468,133.8281106852468,-3.8435786953087256,-3.8435786953087256,-3.8435786953087256,-3.8435786953087256,-3.8435786953087256,-3.8435786953087256,0.0,0.0,0.0,129.98453198993806
28,2020-04-24,135.62360160631,42.30209407326392,209.33343324726562,135.62360160631,135.62360160631,-7.762546552058772,-7.762546552058772,-7.762546552058772,-7.762546552058772,-7.762546552058772,-7.762546552058772,0.0,0.0,0.0,127.86105505425121
29,2020-04-27,141.01007436949962,48.47658605605495,214.36485321643778,141.01007436949962,141.01007436949962,-5.864684727294363,-5.864684727294363,-5.864684727294363,-5.864684727294363,-5.864684727294363,-5.864684727294363,0.0,0.0,0.0,135.14538964220526
30,2020-04-28,142.8055652905628,50.959082137398866,231.27085635963232,142.8055652905628,142.8055652905628,-2.3833795792159402,-2.3833795792159402,-2.3833795792159402,-2.3833795792159402,-2.3833795792159402,-2.3833795792159402,0.0,0.0,0.0,140.42218571134688
31,2020-04-29,144.60105621162603,53.376689762049025,226.5680200462734,144.60105621162603,144.60105621162603,-3.4943599920823423,-3.4943599920823423,-3.4943599920823423,-3.4943599920823423,-3.4943599920823423,-3.4943599920823423,0.0,0.0,0.0,141.1066962195437
32,2020-04-30,146.39654713268925,58.43024708206617,230.61262578311445,146.39654713268925,146.39654713268925,-3.843578695307547,-3.843578695307547,-3.843578695307547,-3.843578695307547,-3.843578695307547,-3.843578695307547,0.0,0.0,0.0,142.5529684373817
33,2020-05-01,148.19203803861618,47.11351534640488,221.26305588336103,148.19203803861618,148.19203803861618,-7.762546552077818,-7.762546552077818,-7.762546552077818,-7.762546552077818,-7.762546552077818,-7.762546552077818,0.0,0.0,0.0,140.42949148653835
34,2020-05-04,153.57851075639704,61.71104343867233,236.10048724809323,153.57851075639704,153.57851075639704,-5.864684727307285,-5.864684727307285,-5.864684727307285,-5.864684727307285,-5.864684727307285,-5.864684727307285,0.0,0.0,0.0,147.71382602908974
35,2020-05-05,155.374001662324,70.55538408642785,239.54481201722024,155.374001662324,155.374001662324,-2.3833795792081487,-2.3833795792081487,-2.3833795792081487,-2.3833795792081487,-2.3833795792081487,-2.3833795792081487,0.0,0.0,0.0,152.99062208311585
36,2020-05-06,157.16949256825092,72.02781989853798,240.41886910547674,157.16949256825092,157.16949256825092,-3.4943599920817676,-3.4943599920817676,-3.4943599920817676,-3.4943599920817676,-3.4943599920817676,-3.4943599920817676,0.0,0.0,0.0,153.67513257616915
37,2020-05-07,158.96498347417784,61.65899651591488,239.0766449835706,158.96498347417784,158.96498347417784,-3.8435786953152173,-3.8435786953152173,-3.8435786953152173,-3.8435786953152173,-3.8435786953152173,-3.8435786953152173,0.0,0.0,0.0,155.12140477886263
38,2020-05-08,160.7604743801048,66.59671578456327,246.99265537005851,160.7604743801048,160.7604743801048,-7.762546552082449,-7.762546552082449,-7.762546552082449,-7.762546552082449,-7.762546552082449,-7.762546552082449,0.0,0.0,0.0,152.99792782802234
39,2020-05-11,166.14694709788563,71.75837259825492,243.4449487387198,166.14694709788563,166.14694709788563,-5.864684727300293,-5.864684727300293,-5.864684727300293,-5.864684727300293,-5.864684727300293,-5.864684727300293,0.0,0.0,0.0,160.28226237058533
40,2020-05-12,167.94243800381258,74.29757803243854,246.17371489255433,167.94243800381258,167.94243800381258,-2.3833795792123897,-2.3833795792123897,-2.3833795792123897,-2.3833795792123897,-2.3833795792123897,-2.3833795792123897,0.0,0.0,0.0,165.55905842460018
41,2020-05-13,169.7379296771521,76.39055079237599,254.73038911901796,169.7379296771521,169.7379296771521,-3.4943599920786026,-3.4943599920786026,-3.4943599920786026,-3.4943599920786026,-3.4943599920786026,-3.4943599920786026,0.0,0.0,0.0,166.24356968507348
42,2020-05-14,171.5334213504916,77.87958717548199,252.27427737655555,171.5334213504916,171.5334213504916,-3.8435786953140387,-3.8435786953140387,-3.8435786953140387,-3.8435786953140387,-3.8435786953140387,-3.8435786953140387,0.0,0.0,0.0,167.68984265517756
43,2020-05-15,173.32891302383112,83.26640449735515,252.9854584867751,173.32891302383112,173.32891302383112,-7.762546552069369,-7.762546552069369,-7.762546552069369,-7.762546552069369,-7.762546552069369,-7.762546552069369,0.0,0.0,0.0,165.56636647176174
44,2020-05-18,178.71538804384969,81.95897353653048,252.0920191800719,178.71538804384969,178.71538804384969,-5.864684727286927,-5.864684727286927,-5.864684727286927,-5.864684727286927,-5.864684727286927,-5.864684727286927,0.0,0.0,0.0,172.85070331656277
45,2020-05-19,180.51087971718923,89.8517544559531,264.3705020788226,180.51087971718923,180.51087971718923,-2.3833795792166317,-2.3833795792166317,-2.3833795792166317,-2.3833795792166317,-2.3833795792166317,-2.3833795792166317,0.0,0.0,0.0,178.1275001379726
46,2020-05-20,182.30637139052874,90.177761066592,263.88190159709245,182.30637139052874,182.30637139052874,-3.494359992079796,-3.494359992079796,-3.494359992079796,-3.494359992079796,-3.494359992079796,-3.494359992079796,0.0,0.0,0.0,178.81201139844893
47,2020-05-21,184.10186306386825,97.26073509687869,262.52234678424924,184.10186306386825,184.10186306386825,-3.843578695330557,-3.843578695330557,-3.843578695330557,-3.843578695330557,-3.843578695330557,-3.843578695330557,0.0,0.0,0.0,180.2582843685377
48,2020-05-22,185.89735473720776,97.27866951508324,264.56696277170136,185.89735473720776,185.89735473720776,-7.762546552056286,-7.762546552056286,-7.762546552056286,-7.762546552056286,-7.762546552056286,-7.762546552056286,0.0,0.0,0.0,178.13480818515148
49,2020-05-26,193.0793249749908,106.08367325451952,274.4674109611714,193.0793249749908,193.0793249749908,-2.38337957920884,-2.38337957920884,-2.38337957920884,-2.38337957920884,-2.38337957920884,-2.38337957920884,0.0,0.0,0.0,190.69594539578196
50,2020-05-27,194.87481753443652,106.23412580748644,279.2846321442927,194.87481753443652,194.87481753443652,-3.494359992080991,-3.494359992080991,-3.494359992080991,-3.494359992080991,-3.494359992080991,-3.494359992080991,0.0,0.0,0.0,191.38045754235551
51,2020-05-28,196.67031009388228,111.623831924322,282.79048061644625,196.67031009388228,196.67031009388228,-3.8435786953070776,-3.8435786953070776,-3.8435786953070776,-3.8435786953070776,-3.8435786953070776,-3.8435786953070776,0.0,0.0,0.0,192.8267313985752
52,2020-05-29,198.465802653328,109.78395513219168,275.3171327612509,198.465802653328,198.465802653328,-7.762546552093045,-7.762546552093045,-7.762546552093045,-7.762546552093045,-7.762546552093045,-7.762546552093045,0.0,0.0,0.0,190.70325610123496
53,2020-06-01,203.8522803316653,111.57926187889592,284.4283261109483,203.8522803316653,203.8522803316653,-5.864684727312774,-5.864684727312774,-5.864684727312774,-5.864684727312774,-5.864684727312774,-5.864684727312774,0.0,0.0,0.0,197.98759560435252
54,2020-06-02,205.647772891111,122.07234097551537,291.78319858293946,205.647772891111,205.647772891111,-2.3833795792010486,-2.3833795792010486,-2.3833795792010486,-2.3833795792010486,-2.3833795792010486,-2.3833795792010486,0.0,0.0,0.0,203.26439331190994
55,2020-06-03,207.44326545055677,122.90079036172055,295.8543056969155,207.44326545055677,207.44326545055677,-3.494359992080417,-3.494359992080417,-3.494359992080417,-3.494359992080417,-3.494359992080417,-3.494359992080417,0.0,0.0,0.0,203.94890545847636
56,2020-06-04,209.2387580100025,122.19995381344235,285.65619544672325,209.2387580100025,209.2387580100025,-3.843578695314748,-3.843578695314748,-3.843578695314748,-3.843578695314748,-3.843578695314748,-3.843578695314748,0.0,0.0,0.0,205.39517931468774
57,2020-06-05,211.0565948508915,110.63447907975099,298.25018679953087,211.0565948508915,211.0565948508915,-7.762546552097674,-7.762546552097674,-7.762546552097674,-7.762546552097674,-7.762546552097674,-7.762546552097674,0.0,0.0,0.0,203.29404829879385
58,2020-06-08,216.51010537355864,126.63447187290906,287.4942642204081,216.51010537355864,216.51010537355864,-5.8646847273057805,-5.8646847273057805,-5.8646847273057805,-5.8646847273057805,-5.8646847273057805,-5.8646847273057805,0.0,0.0,0.0,210.64542064625286
59,2020-06-09,218.32794221444766,131.69187396453108,297.5012534003266,218.32794221444766,218.32794221444766,-2.383379579221082,-2.383379579221082,-2.383379579221082,-2.383379579221082,-2.383379579221082,-2.383379579221082,0.0,0.0,0.0,215.9445626352266
60,2020-06-10,220.14577905533665,136.80858001427754,297.2030727890281,220.14577905533665,220.14577905533665,-3.494359992079843,-3.494359992079843,-3.494359992079843,-3.494359992079843,-3.494359992079843,-3.494359992079843,0.0,0.0,0.0,216.6514190632568
61,2020-06-11,221.96361589622572,127.57629046767404,308.2706358311633,221.96361589622572,221.96361589622572,-3.8435786953135698,-3.8435786953135698,-3.8435786953135698,-3.8435786953135698,-3.8435786953135698,-3.8435786953135698,0.0,0.0,0.0,218.12003720091215
62,2020-06-12,223.78145273711473,134.9412385357911,302.9168537306972,223.78145273711473,223.78145273711473,-7.762546552066881,-7.762546552066881,-7.762546552066881,-7.762546552066881,-7.762546552066881,-7.762546552066881,0.0,0.0,0.0,216.01890618504785
63,2020-06-15,229.2349632597818,140.75793803189072,307.39061920400053,229.2349632597818,229.2349632597818,-5.864684727318706,-5.864684727318706,-5.864684727318706,-5.864684727318706,-5.864684727318706,-5.864684727318706,0.0,0.0,0.0,223.3702785324631
64,2020-06-16,231.05280010067085,147.13913285287703,313.85494250944436,231.05280010067085,231.05280010067085,-2.3833795792253256,-2.3833795792253256,-2.3833795792253256,-2.3833795792253256,-2.3833795792253256,-2.3833795792253256,0.0,0.0,0.0,228.66942052144552
65,2020-06-17,232.92592889605092,145.12819171599614,314.4122690308105,232.92592889605092,232.92592889605092,-3.494359992081037,-3.494359992081037,-3.494359992081037,-3.494359992081037,-3.494359992081037,-3.494359992081037,0.0,0.0,0.0,229.4315689039699
66,2020-06-18,234.79905769143102,154.1318097830105,316.742204976097,234.79905769143102,234.79905769143102,-3.843578695321239,-3.843578695321239,-3.843578695321239,-3.843578695321239,-3.843578695321239,-3.843578695321239,0.0,0.0,0.0,230.95547899610978
67,2020-06-19,236.67218648681114,148.75834250338085,318.87749022344764,236.67218648681114,236.67218648681114,-7.7625465520715125,-7.7625465520715125,-7.7625465520715125,-7.7625465520715125,-7.7625465520715125,-7.7625465520715125,0.0,0.0,0.0,228.90963993473963
68,2020-06-22,242.29157287295146,150.83470770510792,323.00943806512134,242.29157287295146,242.29157287295146,-5.864684727311713,-5.864684727311713,-5.864684727311713,-5.864684727311713,-5.864684727311713,-5.864684727311713,0.0,0.0,0.0,236.42688814563974
69,2020-06-23,244.16470166833156,155.71245618525322,322.47404867089057,244.16470166833156,244.16470166833156,-2.3833795792054993,-2.3833795792054993,-2.3833795792054993,-2.3833795792054993,-2.3833795792054993,-2.3833795792054993,0.0,0.0,0.0,241.78132208912606
70,2020-06-24,246.03783046371169,155.45015196413803,332.20059623500003,246.03783046371169,246.03783046371169,-3.4943599920822304,-3.4943599920822304,-3.4943599920822304,-3.4943599920822304,-3.4943599920822304,-3.4943599920822304,0.0,0.0,0.0,242.54347047162946
71,2020-06-25,247.91095925909178,155.4871221244522,325.0046376741015,247.91095925909178,247.91095925909178,-3.843578695297761,-3.843578695297761,-3.843578695297761,-3.843578695297761,-3.843578695297761,-3.843578695297761,0.0,0.0,0.0,244.06738056379402
72,2020-06-26,249.78408805447185,157.12665326167607,326.27037105386285,249.78408805447185,249.78408805447185,-7.76254655205843,-7.76254655205843,-7.76254655205843,-7.76254655205843,-7.76254655205843,-7.76254655205843,0.0,0.0,0.0,242.0215415024134
73,2020-06-29,255.56754645204686,155.76415246724156,334.3015310986938,255.56754645204686,255.56754645204686,-5.8646847273246365,-5.8646847273246365,-5.8646847273246365,-5.8646847273246365,-5.8646847273246365,-5.8646847273246365,0.0,0.0,0.0,249.70286172472223
74,2020-06-30,257.49536591790525,168.9623873081543,337.9250388383791,257.49536591790525,257.49536591790525,-2.3833795792097416,-2.3833795792097416,-2.3833795792097416,-2.3833795792097416,-2.3833795792097416,-2.3833795792097416,0.0,0.0,0.0,255.11198633869552
75,2020-07-01,259.4231853837635,173.3774929318126,339.0210546911688,259.4231853837635,259.4231853837635,-3.4943599920808333,-3.4943599920808333,-3.4943599920808333,-3.4943599920808333,-3.4943599920808333,-3.4943599920808333,0.0,0.0,0.0,255.92882539168266
76,2020-07-02,261.35100484962186,168.04134400408526,342.2462837062977,261.35100484962186,261.35100484962186,-3.8435786953054314,-3.8435786953054314,-3.8435786953054314,-3.8435786953054314,-3.8435786953054314,-3.8435786953054314,0.0,0.0,0.0,257.5074261543164
