,Date,Close
0,2020-03-16,89.014
1,2020-03-17,86.040001
2,2020-03-18,72.244003
3,2020-03-19,85.528
4,2020-03-20,85.505997
5,2020-03-23,86.858002
6,2020-03-24,101.0
7,2020-03-25,107.849998
8,2020-03-26,105.632004
9,2020-03-27,102.872002
10,2020-03-30,100.426003
11,2020-03-31,104.800003
12,2020-04-01,96.311996
13,2020-04-02,90.893997
14,2020-04-03,96.001999
15,2020-04-06,103.248001
16,2020-04-07,109.089996
17,2020-04-08,109.767998
18,2020-04-09,114.599998
19,2020-04-13,130.190002
20,2020-04-14,141.977997
21,2020-04-15,145.966003
22,2020-04-16,149.042007
23,2020-04-17,150.778
24,2020-04-20,149.272003
25,2020-04-21,137.343994
26,2020-04-22,146.421997
27,2020-04-23,141.126007
28,2020-04-24,145.029999
29,2020-04-27,159.75
30,2020-04-28,153.824005
31,2020-04-29,160.102005
32,2020-04-30,156.376007
33,2020-05-01,140.264008
34,2020-05-04,152.238007
35,2020-05-05,153.641998
36,2020-05-06,156.516006
37,2020-05-07,156.007996
38,2020-05-08,163.884003
39,2020-05-11,162.257996
40,2020-05-12,161.882004
41,2020-05-13,158.192001
42,2020-05-14,160.666
43,2020-05-15,159.834
44,2020-05-18,162.725998
45,2020-05-19,161.602005
46,2020-05-20,163.112
47,2020-05-21,165.520004
48,2020-05-22,163.376007
49,2020-05-26,163.774002
50,2020-05-27,164.046005
51,2020-05-28,161.162003
52,2020-05-29,167.0
53,2020-06-01,179.619995
54,2020-06-02,176.311996
55,2020-06-03,176.591995
56,2020-06-04,172.876007
57,2020-06-05,177.132004
58,2020-06-08,189.983994
59,2020-06-09,188.134003
60,2020-06-10,205.009995
61,2020-06-11,194.567993
62,2020-06-12,187.056
63,2020-06-15,198.179993
64,2020-06-16,196.425995
65,2020-06-17,198.358002
66,2020-06-18,200.792007
67,2020-06-19,200.179993
68,2020-06-22,198.863998
69,2020-06-23,200.356003
70,2020-06-24,192.169998
71,2020-06-25,197.195999
72,2020-06-26,191.947998
73,2020-06-29,201.869995
74,2020-06-30,215.962006
75,2020-07-01,223.925995
76,2020-07-02,241.731995
77,2020-07-06,274.31601
78,2020-07-07,277.971985
79,2020-07-08,273.175995
80,2020-07-09,278.855988
81,2020-07-10,308.929993
82,2020-07-13,299.411987
83,2020-07-14,303.359985
84,2020-07-15,309.201996
85,2020-07-16,300.127991
86,2020-07-17,300.167999
87,2020-07-20,328.600006
88,2020-07-21,313.671997
89,2020-07-22,318.466003
90,2020-07-23,302.614014
91,2020-07-24,283.399994
92,2020-07-27,307.920013
93,2020-07-28,295.298004
94,2020-07-29,299.821991
95,2020-07-30,297.497986
96,2020-07-31,286.152008
97,2020-08-03,297.0
98,2020-08-04,297.399994
99,2020-08-05,297.003998
100,2020-08-06,297.915985
101,2020-08-07,290.541992
102,2020-08-10,283.713989
103,2020-08-11,274.877991
104,2020-08-12,310.951996
105,2020-08-13,324.200012
106,2020-08-14,330.141998
107,2020-08-17,367.127991
108,2020-08-18,377.417999
109,2020-08-19,375.705994
110,2020-08-20,400.365997
111,2020-08-21,409.996002
112,2020-08-24,402.839996
113,2020-08-25,404.667999
114,2020-08-26,430.634003
115,2020-08-27,447.75
116,2020-08-28,442.679993
117,2020-08-31,498.320007
118,2020-09-01,475.049988
119,2020-09-02,447.369995
120,2020-09-03,407.0
121,2020-09-04,418.320007
122,2020-09-08,330.209991
123,2020-09-09,366.279999
124,2020-09-10,371.339996
125,2020-09-11,372.720001
126,2020-09-14,419.619995
127,2020-09-15,449.76001
128,2020-09-16,441.76001
129,2020-09-17,423.429993
130,2020-09-18,442.149994
131,2020-09-21,449.390015
132,2020-09-22,424.230011
133,2020-09-23,380.359985
134,2020-09-24,387.790009
135,2020-09-25,407.339996
136,2020-09-28,421.200012
137,2020-09-29,419.070007
138,2020-09-30,429.01001
139,2020-10-01,448.160004
